Date,THB
2022-08-21,35.803964
2022-08-22,36.130058
2022-08-23,36.063499
2022-08-24,36.06803
2022-08-25,35.820096
2022-08-26,36.205038
2022-08-27,36.205038
2022-08-28,36.299391
2022-08-29,36.329887
2022-08-30,36.458012
2022-08-31,36.637498
2022-09-01,36.781031
2022-09-02,36.662038
2022-09-03,36.662038
2022-09-04,36.740287
2022-09-05,36.55026
2022-09-06,36.712975
2022-09-07,36.530169
2022-09-08,36.419986
2022-09-09,36.524504
2022-09-10,36.312038
2022-09-11,36.393499
2022-09-12,36.283987
2022-09-13,36.610437
2022-09-14,36.640336
2022-09-15,36.95051
2022-09-16,36.802038
2022-09-17,36.422038
2022-09-18,36.422038
2022-09-19,36.422038
2022-09-20,36.990332
2022-09-21,37.220367
2022-09-22,37.380171
2022-09-23,37.804504
2022-09-24,37.51037
2022-09-25,37.590026
2022-09-26,37.958501
2022-09-27,37.980251
2022-09-28,37.919586
2022-09-29,37.871497
2022-09-30,37.803038
2022-10-01,37.803038
2022-10-02,37.840502
2022-10-03,37.807972
2022-10-04,37.435496
2022-10-05,37.450096
2022-10-06,37.366499
2022-10-07,37.571038
2022-10-08,37.571038
2022-10-09,37.564817
2022-10-10,37.999751
2022-10-11,38.098342
2022-10-12,37.902368
2022-10-13,38.029878
2022-10-14,38.271038
2022-10-15,38.271038
2022-10-16,38.290345
2022-10-17,38.089988
2022-10-18,38.080155
2022-10-19,38.309684
2022-10-20,38.209944
2022-10-21,37.607504
2022-10-22,38.034038
2022-10-23,38.060331
2022-10-24,38.219924
2022-10-25,37.959649
2022-10-26,37.709981
2022-10-27,37.800501
2022-10-28,37.895038
2022-10-29,37.895038
2022-10-30,37.897498
2022-10-31,38.059821
2022-11-01,37.729682
2022-11-02,37.840202
2022-11-03,38.009892
2022-11-04,37.21037
2022-11-05,37.29037
2022-11-06,37.450504
2022-11-07,37.310387
2022-11-08,36.925007
2022-11-09,36.951455
2022-11-10,36.179656
2022-11-11,35.930369
2022-11-12,35.945038
2022-11-13,36.037501
2022-11-14,35.693502
2022-11-15,35.570288
2022-11-16,35.820309
2022-11-17,35.849989
2022-11-18,35.810369
2022-11-19,35.810369
2022-11-20,35.810507
2022-11-21,36.30232
2022-11-22,36.110471
2022-11-23,35.990268
2022-11-24,35.790429
2022-11-25,35.710369
2022-11-26,35.690369
2022-11-27,35.967502
2022-11-28,35.790089
2022-11-29,35.440057
2022-11-30,35.090013
2022-12-01,34.798737
2022-12-02,34.720369
2022-12-03,34.735035
2022-12-04,34.679543
2022-12-05,35.050193
2022-12-06,35.090239
2022-12-07,34.909882
2022-12-08,34.740219
2022-12-09,34.650369
2022-12-10,34.672038
2022-12-11,34.722498
2022-12-12,34.850029
2022-12-13,34.589062
2022-12-14,34.520255
2022-12-15,35.094499
2022-12-16,36.000337
2022-12-17,34.843038
2022-12-18,34.8825
2022-12-19,34.84967
2022-12-20,34.659589
2022-12-21,34.659704
2022-12-22,34.839618
2022-12-23,34.770369
2022-12-24,34.730369
2022-12-25,34.765498
2022-12-26,34.669787
2022-12-27,34.629814
2022-12-28,34.720567
2022-12-29,34.574499
2022-12-30,34.580369
2022-12-31,34.580369
